,기업명,누적투자금액,매출,고용인원,카테고리,키워드,설립년도
253,라프텔_라프텔,2.0,24.54,44,"커머스, 콘텐츠/예술","커머스, 콘텐츠/예술, 스트리밍, OTT, 애니메이션, 영상/비디오, 미디어, 플랫폼/마켓플레이스, 콘텐츠, 정기구독, 구독경제, 웹툰/만화",10
254,센트비_센트비,44.4444,24.5889,62,금융/보험/핀테크,"금융/보험/핀테크, 송금, B2B, B2C, APP, WEB, 결제/페이먼트, 외환/환전, SaaS/엔터프라이즈, 데이터/API",9
255,에이젠글로벌_에이젠글로벌,19.2125,3.6,39,"금융/보험/핀테크, 통신/보안/데이터, AI/딥테크/블록체인","금융/보험/핀테크, 통신/보안/데이터, AI/딥테크/블록체인, 자산관리, 인공지능, 빅데이터, 딥러닝/머신러닝, B2B, SaaS/엔터프라이즈, 소프트웨어, 데이터",8
256,어반베이스_어반베이스,15.4,1.4,2,홈리빙/펫,"홈리빙/펫, 가구, 인테리어, 생활용품/소품, 3D그래픽/CG, VR/AR, B2C, 플랫폼/마켓플레이스, APP, WEB, 소프트웨어, O2O",10
257,튜닙,10.0,0.0344,19,AI/딥테크/블록체인,"AI/딥테크/블록체인, 자연어처리/텍스트마이닝, 인공지능, 프로그래밍개발, B2B, SaaS/엔터프라이즈, 용역, WEB, 소프트웨어, 교육/컨설팅/용역",3
258,마드라체크_플로우,7.7778,7.7778,109,"인사/비즈니스/법률, 통신/보안/데이터","인사/비즈니스/법률, 통신/보안/데이터, 협업툴/생산성, 화상회의/리모트워크/원격근무, 데이터, 보안/암호화, 프로그래밍개발, B2B, SaaS/엔터프라이즈, 구독, 용역, 소프트웨어, 교육/컨설팅/용역, 데이터/API, 구독경제",9
259,컨텍터스_둥지,10.6667,1.9,20,"부동산/건설, AI/딥테크/블록체인","부동산/건설, AI/딥테크/블록체인, 팁스(TIPS)2022, 인공지능, IoT, 빅데이터, B2C, 시니어/실버, 플랫폼/마켓플레이스, WEB, 교육/컨설팅/용역, 비대면/무인시스템/Untact",3
260,피스피스스튜디오_마르디메크르디,125.0,93.275,95,"커머스, 패션","커머스, 패션, 의류, 패션잡화, 디자인, 이커머스, B2C, 상품/하드웨어, 상품판매/브랜드/하드웨어, WEB",4
261,스마트푸드네트웍스_차별화상회,115.0,237.375,104,물류,"물류, 물류솔루션, 풀필먼트, 콜드체인, B2B, 소프트웨어, 공간, O2O",4
262,엔젤스윙_엔젤스윙,1.875,0.9,10,"모빌리티/교통, 부동산/건설, 통신/보안/데이터","모빌리티/교통, 부동산/건설, 통신/보안/데이터, 초격차스타트업, 건축, 설계, 안전, 프롭테크, 자재, 드론, 데이터, 클라우드, B2B, SaaS/엔터프라이즈, 소프트웨어, 데이터/API, 비영리/기부/사회적기업",8
263,타인에이아이_오르락,19.75,0.0682,9,"소셜미디어/커뮤니티, 금융/보험/핀테크","소셜미디어/커뮤니티, 금융/보험/핀테크, 주식/증권, 자산관리, 빅데이터, 커뮤니티, B2C, 플랫폼/마켓플레이스, APP, 금융상품, 콘텐츠",4
264,온더룩_온더룩,20.0,0.1568,21,"소셜미디어/커뮤니티, 패션","소셜미디어/커뮤니티, 패션, SNS, 커뮤니티, 의류, 신발, 패션잡화, 패션테크, 인공지능, 검색/검색엔진, B2C, 플랫폼/마켓플레이스, APP, WEB",5
265,코멘토_코멘토,5.2222,4.2222,48,"소셜미디어/커뮤니티, 인사/비즈니스/법률","소셜미디어/커뮤니티, 인사/비즈니스/법률, WEB, APP, 커뮤니티, 구인구직/채용, B2C, 플랫폼/마켓플레이스, 거래수수료, 교육/컨설팅/용역, 공유경제/긱이코노미",9
266,티맵모빌리티_티맵,1683.25,511.525,372,모빌리티/교통,"모빌리티/교통, 지도/네비게이션/GPS, GIS/지리정보, 공간정보, 주차, 자율주행, 교통솔루션, 택시, 대중교통, 대리운전, 자연어처리/텍스트마이닝, B2C, 플랫폼/마켓플레이스, 구독, 거래수수료, APP, O2O",4
267,쉐어잇_쉐어잇,10.7143,5.7857,31,부동산/건설,"부동산/건설, 아기유니콘, 코워킹, B2B, B2C, 플랫폼/마켓플레이스, 렌탈/대여, APP, WEB, 공간, 공유경제/긱이코노미, O2O",7
268,팀프레시_팀프레시,391.6667,383.9333,396,"물류, 푸드/농업","물류, 푸드/농업, 예비유니콘, 배송대행, 풀필먼트, 콜드체인, 신선식품, B2B, SaaS/엔터프라이즈, 용역, 교육/컨설팅/용역, O2O, D2C",6
269,타이드스퀘어_투어비스,90.0,17.2,431,"커머스, 여행/레저","커머스, 여행/레저, 숙박, APP, WEB, 여행정보, 항공권, 이커머스, B2C, 상품판매/브랜드/하드웨어, 상품/하드웨어, O2O",15
270,작당모의_잼페이스,18.0,0.5667,25,"콘텐츠/예술, 뷰티/화장품, AI/딥테크/블록체인","콘텐츠/예술, 뷰티/화장품, AI/딥테크/블록체인, 아기유니콘, 큐레이션, 스킨케어/클렌징, 색조/메이크업, 뷰티테크, 화장품정보/리뷰, 플랫폼/마켓플레이스, APP, 콘텐츠, 여성창업",6
271,쿠캣_쿠캣,38.17,37.25,112,"커머스, 콘텐츠/예술, 푸드/농업","커머스, 콘텐츠/예술, 푸드/농업, 간편식/HMR, APP, WEB, 반찬, 건강기능식품, 전통주, 밀키트, 이커머스, 유통, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, 상품/하드웨어, 콘텐츠, O2O, 오프라인매장",10
272,드림어스컴퍼니_FLO,52.0,109.748,336,"커머스, 콘텐츠/예술, AI/딥테크/블록체인","커머스, 콘텐츠/예술, AI/딥테크/블록체인, B2B, B2C, 음악, 인공지능, 이커머스, 유통, 플랫폼/마켓플레이스, 구독, 상품판매/브랜드/하드웨어, APP, 콘텐츠, 구독경제, 스트리밍",25
273,비프로컴퍼니_비프로11,24.7778,2.6556,17,"콘텐츠/예술, 통신/보안/데이터, AI/딥테크/블록체인","콘텐츠/예술, 통신/보안/데이터, AI/딥테크/블록체인, APP, WEB, 인공지능, 영상/비디오, 데이터, B2C, 광고, 콘텐츠, 데이터/API",9
274,구름_구름EDU,1.8182,8.1364,127,"교육, 통신/보안/데이터","교육, 통신/보안/데이터, 에듀테크, 클라우드, 프로그래밍개발, 비대면교육, 선생님, B2B, SaaS/엔터프라이즈, 용역, 소프트웨어, 교육/컨설팅/용역, 데이터/API",11
275,뉴로핏,60.0,0.8625,115,"헬스케어/바이오, AI/딥테크/블록체인","헬스케어/바이오, AI/딥테크/블록체인, 최근투자받은추천채용기업, 바이오/의료, 진단/검사, 인공지능, B2B, SaaS/엔터프라이즈, 소프트웨어, O2O, 비대면/무인시스템/Untact",8
276,테크타카_아르고,62.75,5.65,65,"물류, 통신/보안/데이터","물류, 통신/보안/데이터, 예비유니콘, 물류솔루션, 데이터, B2B, SaaS/엔터프라이즈, 용역, 소프트웨어, 교육/컨설팅/용역, 데이터/API",4
277,한패스_한패스,7.1429,34.2286,115,금융/보험/핀테크,"금융/보험/핀테크, P2P, 송금, 외환/환전, B2B, B2C, 거래수수료, APP",7
278,누트컴퍼니_위버딩,9.5,0.2833,17,커머스,"커머스, 이커머스, 검색/검색엔진, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, WEB, 상품/하드웨어",6
279,인덴트코퍼레이션_브이리뷰,30.3333,1.05,32,"광고/마케팅, AI/딥테크/블록체인","광고/마케팅, AI/딥테크/블록체인, 리뷰, 마케팅솔루션, 협업툴/생산성, 인공지능, B2B, SaaS/엔터프라이즈, 소프트웨어, 데이터/API",6
280,르보아르테_롸버트치킨,17.5,1.8167,25,푸드/농업,"푸드/농업, 로봇, 인공지능, B2C, 상품판매/브랜드/하드웨어, 상품/하드웨어, 오프라인매장, 비대면/무인시스템/Untact, 여성창업",6
281,스캐터랩_연애의과학,28.6923,0.4385,50,"콘텐츠/예술, 통신/보안/데이터","콘텐츠/예술, 통신/보안/데이터, 미디어, 여행정보, 인공지능, APP, WEB, 콘텐츠, 비대면/무인시스템/Untact, 챗봇, 생성형AI",13
282,엑스와이지,29.0,5.8,40,"푸드/농업, 제조/하드웨어, AI/딥테크/블록체인","푸드/농업, 제조/하드웨어, AI/딥테크/블록체인, 아기유니콘, 로봇, 제조기술, 인공지능, 음료, 디저트, B2B, 상품판매/브랜드/하드웨어, SaaS/엔터프라이즈, 상품/하드웨어, 소프트웨어, 비대면/무인시스템/Untact, 오프라인매장",5
283,마이프랜차이즈_마이프차,25.0,3.22,34,"인사/비즈니스/법률, AI/딥테크/블록체인","인사/비즈니스/법률, AI/딥테크/블록체인, 창업, APP, WEB, 빅데이터, B2B, 플랫폼/마켓플레이스, 교육/컨설팅/용역, 데이터/API, 비대면/무인시스템/Untact",5
284,밸류맵_밸류맵,8.2667,0.2222,31,부동산/건설,"부동산/건설, 프롭테크, APP, WEB, 상권분석, 부동상중개, B2C, 플랫폼/마켓플레이스, 용역, 거래수수료, 교육/컨설팅/용역, 인공지능, O2O",9
285,센드버드코리아_센드버드,208.9833,21.4583,135,"소셜미디어/커뮤니티, 통신/보안/데이터","소셜미디어/커뮤니티, 통신/보안/데이터, 메세지, 챗봇, 생성형AI, 통신/네트워크/5G, B2B, SaaS/엔터프라이즈, APP, 소프트웨어, 데이터/API",12
