,기업명,누적투자금액,매출,고용인원,카테고리,키워드,설립년도
110,브랜드엑스코퍼레이션_젝시믹스,35.7143,303.9143,205,"커머스,푸드/농업,패션","이커머스,의류,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,WEB,상품/하드웨어",7
111,케어닥_케어닥,52.5,3.75,69,헬스케어/바이오,"병원정보,요양,빅데이터,B2C,시니어/실버,플랫폼/마켓플레이스,APP,WEB,O2O",6
112,자비스앤빌런즈_삼쩜삼,43.2222,55.1222,157,"금융/보험/핀테크,인사/비지니스/법률,AI/딥테크/블록체인","세무,회계,경리/경영관리,ERP/그룹웨어,블록체인기술,인공지능,빅데이터,B2B,SaaS/엔터프라이즈,구독,용역,APP,WEB,소프트웨어,교육/컨설팀/용역",9
113,솜씨당컴퍼니_솜씨당,2.8571,1.5,31,"커머스,여행/레저","취미교육,선생님,B2B,B2C,플랫폼/마켓플레이스,APP,WEB,O2O,비대면/무인시스템/Untact",14
114,레몬베이스_레몬베이스,33.0,2.175,69,"인사/비즈니스/법률,통신/보안/데이터","인사솔루션,프로그래밍개발,B2C,Saas/엔터프라이즈,소프트웨어",4
115,엘알에치알_패피스,3.6667,0.0512,11,"커머스,패션","이커머스,의류,패션잡화,명품/중고명품,패션테크,B2C,플랫폼/마켓플레이스,WEB,O2O",3
116,탈잉_탈잉,30.875,5.525,17,"콘텐츠/예술,교육","영상/비디오,취미교육,성인실무교육,B2B,B2C,플랫폼/마켓플레이스,APP,WEB,콘텐츠,교육/컨설팅/용역,O2O,비대면/무인시스템/Untact,스트리밍,에듀테크",8
117,더슬립팩토리_파사,10.0,0.018,5,헬스케어/바이오,"의료기기,디지털치료제,B2C,SaaS/엔터프라이즈,상품판매/브랜드/하드웨어,APP,WEB,슬립테크,수면",2
118,휴먼스케이프_마미톡,95.6875,4.7125,91,"헬스케어/바이오,유아/출산","바이오/의료,병원정보,육아정보,출산,B2C,플랫폼/마켓플레이스,APP,WEB",8
119,스칼라데이터_모두의충전,5.0,1.3,24,모빌리티/교통,"배터리,전기차/수소차,데이터,빅데이터,B2C,플랫폼,마켓플레이스,APP,데이터/API,ESG",6
120,룩코_에이클로젯,7.5,0.025,23,"커머스,패션,AI/딥테크/블록체인","이커머스,정기구독,의류,패션잡화,인공지능,B2C,플랫폼/마켓플레이스,APP,구독경제",4
121,레진엔터테인먼트_레진코믹스,71.8455,71.2091,196,콘텐츠/예술,"출판,웹툰/만화,B2C,플랫폼/마켓플레이스,거래수수료,용역,APP,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,웹소설",11
122,미리디_미리캔버스,1.875,20.6813,289,"콘텐츠/예술,광고/마케팅","디자인,마케팅솔루션,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,WEB,콘텐츠,교육/컨설팅/용역",16
123,패러다임시프트_히로인스,4.0,0.0069,6,"소셜미디어/커뮤니티,헬스케어/바이오","SNS,커뮤니티,다이어트,홈트레이닝,PT/피트니스,B2C,여성,APP",2
124,아이쿠카_아이쿠카,1.6,0.52,11,"금융/보험/핀테크,유아/출산","자산관리,재테크,B2C,유아동,초등학생,플랫폼/마켓플레이스,APP",5
125,로앤컴퍼니_로톡,30.8333,2.4583,53,"인사/비즈니스/법률,AI/딥테크/블록체인","법률,인공지능,B2C,플랫폼/마켓플레이스,APP,WEB,교육/컨설팅/용역,O2O",12
126,더커머스_원셀,5.5556,0.0629,9,"커머스,인사/비지니스/법률","이커머스,경리/경영관리,B2B,SaaS/엔터프라이즈,소프트웨어,O2O",9
127,카카오스타일_지그재그,8.3333,84.8667,536,"커머스,패션,AI/딥테크/블록체인","이커머스,큐레이션,리뷰,의류,신발,패션잡화,쥬얼리,패션테크,인공지능,빅데이터,B2C,여성,플랫폼/마켓플레이스,APP,상품/하드웨어",12
128,필라이즈_필라이즈,50.0,0.1937,11,"헬스케어/바이오,AI/딥테크/블록체인","디지털헬스케어,건강기능식품,당뇨/고혈압/만성질환,인공지능,B2C,플랫폼/마켓플레이스,광고,APP,데이터/API,비대면/무인시스템/Untact",3
129,비주얼_아몬드,30.5714,10.7429,63,"커머스,패션","이커머스,쥬얼리,B2C,플랫폼/마켓플레이스,APP,O2O",7
130,리브애니웨어_리브애니웨어,17.75,25.3,34,"소셜미디어/커뮤니티,여행/레저","커뮤니티,숙박,여행정보,B2C,플랫폼/마켓플레이스,광고,거래수수료,APP,WEB,데이터/API,O2O",4
131,애즈위메이크_큐마켓,10.6,1.42,34,물류,"배송,배송대행,B2C,플랫폼/마켓플레이스,용역,APP,교육/컨설팅/용역,O2O",5
132,닥터다이어리_닥터다이어리,22.1429,113.4286,55,"커머스,소셜미디어/커뮤니티,헬스케어/바이오","이커머스,커뮤니티,디지털헬스케어,바이오/의료,원격진료,병원정보,B2B,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,상품판매/브랜드/하드웨어,APP,WEB,상품/하드웨어,소프트웨어,교육/컨설팅/용역",7
133,팀스파르타_스파르타코딩클럽,32.5,54.925,170,교육,"취미교육,성인실무교육,비대면교육,프로그래밍개발,기타기술,플랫폼/마켓플레이스,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크",4
134,콕스웨이브_얼라인AI,18.3333,0.6333,13,"통신/보안/데이터,AI/딥테크/블록체인","사진,프래그래밍개발,인공지능,딥러닝/머신러닝,B2B,SaaS/엔터프라이즈,WEB,소프트웨어",3
135,제로엑스플로우_원아워,8.4286,0.3,13,"교육,AI/딥테크/블록체인","영어,외국어,인공지능,B2B,SaaS/엔터프라이즈,APP,교육/컨설팅/용역,에듀테크",7
136,아파트너_아파트너,1.4286,4.7571,71,"소셜미디어/커뮤니티,홈리빙/펫,부동산/건설","커뮤니티,가사노동,B2B,플랫폼/마켓플레이스,거래수수료,APP,교육/컨설팅/용역,O2O,비대면/무인시스템/Untact",7
137,프렌즈큐브_소모임,0.1538,1.6923,5,"소셜미디어/커뮤니티,여행/레저","커뮤니티,레저/액티비티,B2C,플랫폼/마켓플레이스,WEB,O2O,오프라인매장",13
138,스트라드비젼_자율주행기능지원기술,143.7,6.62,264,"모빌리티/교통,AI/딥테크/블록체인","자율주행,인공지능,딥러닝/머신러닝,비전생성/영상인식/센서,B2B,SaaS/엔터프라이즈,소프트웨어",10
139,세컨신드롬_미니창고다락,16.25,9.4375,28,물류,"창고,임대,B2B,B2C,구독,공간,공유경제/긱이코노미,O2O",8
140,왓챠_왓챠,46.7692,56.4308,87,"콘텐츠/예술,AI/딥테크/블록체인","영화,영상/비디오,OTT,검색/검색엔진,B2C,플랫폼/마켓플레이스,구독,APP,WEB,콘텐츠,스트리밍",13
141,튜링_수학대왕,13.3333,0.1164,31,"교육,AI/딥테크/블록체인","커뮤니티,수학,인공지능,B2C,플랫폼/마켓플레이스,APP,O2O,비대면/무인시스템/Untatct",6
142,비엠스마일_페스룸,46.6667,56.2833,130,"커머스,홈리빙/펫","이커머스,유통,제조기술,사료,펫케어/펫테크,B2C,상품판매/브랜드/하드웨어,WEB,상품/하드웨어,펫용품",6
143,퓨리오사에이아이_WARBOY,240.0,0.4286,112,"제조/하드웨어,AI/딥테크/블록체인","반도체,부품,제조기술,인공지능,B2B,상품판매/브랜드/하드웨어,용역,상품/하드웨어,소프트웨어,교육/컨설팅/용역,공정/자재/설비",7
144,그립컴퍼니_그립,19.1667,21.9,171,"커머스, 콘텐츠/예술","이커머스, 라이브커머스",6
145,카카오브이엑스_카카오골프예약,129.1667,148.0417,499,"헬스케어/바이오, AI/딥테크/블록체인","홈트레이닝, 스포츠/운동",12
146,올거나이즈코리아_엘리,35.5,3.6667,39,인사/비즈니스/법률,"협업툴/생산성, 인공지능",6
147,모레,112.5,34.35,76,AI/딥테크/블록체인,"프로그래밍개발, 인공지능",4
148,오아시스_오아시스마켓,102.3077,328.6462,860,"커머스, 푸드/농업","이커머스, 유통, 간편식/HMR",13
149,니어스랩,33.6667,2.0889,85,"모빌리티/교통, 통신/보안/데이터","공간정보, 드론, 데이터",9
150,프렌트립_프립,16.2727,2.2818,25,소셜미디어/커뮤니티,"커뮤니티, 여행정보, 레저/액티비티",11
151,바로팜_바로팜,40.0,3.12,51,헬스케어/바이오,"이커머스, 도매, 바이오/의료",5
152,지엔터프라이즈_비즈넵,20.625,0.775,63,인사/비즈니스/법률,"조직관리/조직문화, 세무",8
153,쿼타랩_쿼타북,2.0,0.62,30,금융/보험/핀테크,"주식/증권, 경리/경영관리",5
154,어바웃펫_어바웃펫,28.9667,38.0583,77,"커머스, 홈리빙/펫","이커머스, 사료, 펫패션",12
155,피클플러스_피클플러스,2.375,3.675,28,콘텐츠/예술,"방송, OTT, 기타예술",4
156,큐피스트_글램,5.7143,18.4286,33,소셜미디어/커뮤니티,"커뮤니티, 데이팅, 플랫폼/마켓플레이스",7
157,파이온코퍼레이션_브이캣,29.0,2.88,50,"콘텐츠/예술, 광고/마케팅","영상/비디오, 마케팅솔루션",5
158,스페이스브이_삼삼엠투,1.6667,0.6167,21,부동산/건설,"부동산중개, 프롭테크",6
159,바잇미_바잇미,12.8571,28.5857,45,"커머스, 홈리빙/펫","이커머스, 사료, 펫패션",7
160,누비랩,19.6667,6.0667,59,"헬스케어/바이오, 푸드/농업","디지털헬스케어, 스마트팜/로봇",6
161,머스트잇_머스트잇,40.0,27.5583,111,"커머스, 패션","이커머스, 직구/역직구",12
162,페르소나에이아이_봇톡스,2.8571,3.9857,68,AI/딥테크/블록체인,"로봇, 인공지능, 딥러닝/머신러닝",7
163,마크비전코리아,64.0,15.78,83,"커머스, 통신/보안/데이터","이커머스, 프로그래밍개발",5
164,하이퍼커넥트_아자르,12.2,176.9,345,소셜미디어/커뮤니티,"SNS, 커뮤니티, 데이팅",10
165,팬딩_팬딩,3.3333,10.1167,29,"콘텐츠/예술, 소셜미디어/커뮤니티",MCN/크리에이터,6
166,띵스플로우_헬로우봇,4.1429,13.9143,62,소셜미디어/커뮤니티,"메세지 , 빅데이터, 자연어처리/텍스트마이닝",7
167,위버케어_메디패스,5.7143,11.3429,54,"헬스케어/바이오, 인사/비즈니스/법률","디지털헬스케어, 바이오/의료",7
168,마카롱팩토리_마이클,1.5556,11.3667,38,모빌리티/교통,"세차, 정비, 커넥티드카/ADAS",9
169,스카이랩스_스카이랩스,50.7778,0.5333,59,"커머스, 헬스케어/바이오","이커머스, 디지털헬스케어",9
170,위펀_스낵24,53.75,77.9833,220,"물류, 푸드/농업","배송, 퀵서비스, 디저트",6
171,인터콘시스템스_,20.8696,13.0348,107,제조/하드웨어,"반도체, 제조기술, 데이터",23
172,오케스트로_심포니 인공지능,250.0,56.35,445,인사/비즈니스/법률,"협업툴/생산성, 클라우드",6
173,노머스_원더월,128.0,36.96,63,콘텐츠/예술,"취미교육, 성인실무교육",5
174,마플코퍼레이션_마플샵,10.8,18.61,137,"커머스, 콘텐츠/예술","이커머스, 디자인, 제조기술",10
175,마켓보로_식봄,74.625,1.95,96,"커머스, 물류","이커머스, 유통, 도매",8
176,원프레딕트_원프레딕트,61.25,1.775,90,AI/딥테크/블록체인,"IoT, 인공지능, 딥러닝/머신러닝",8
177,홀릭스팩토리_홀릭스,4.5,1.3417,1,소셜미디어/커뮤니티,"커뮤니티, 비대면교육",12
178,닷슬래시대시_닷슬래시대시,30.0,0.038,32,"콘텐츠/예술, 소셜미디어/커뮤니티","영상/비디오, 숏폼",4
179,파스토_파스토,166.6667,51.7,107,"물류, AI/딥테크/블록체인","물류솔루션, 배송, 풀필먼트",6
180,오픈플랜_토글,7.0,0.68,25,금융/보험/핀테크,보험/인슈어테크,5
181,크레이빙콜렉터_콜렉티브,13.75,0.875,12,"커머스, 패션","의류, 신발, 패션잡화",4
182,데이터라이즈_데이터라이즈,25.2,1.2,44,"커머스, 광고/마케팅","이커머스, 애드테크, 마케팅솔루션",5
183,딜리셔스_신상마켓,275.0,89.9333,218,"커머스, 물류, 패션","유통, 도매, 배송",3
184,프렌들리에이아이_페리플로우,26.6667,0.3667,21,통신/보안/데이터,"데이터, 클라우드, 인터넷기술",3
185,어댑트_푸드올로지,17.1429,155.2429,99,"커머스, 콘텐츠/예술","이커머스, 유통, 의류",7
186,밀리의서재_밀리의서재,77.4375,57.275,161,콘텐츠/예술,"웹툰/만화, OTT",8
187,타임앤코_롱블랙,3.6667,2.8333,26,콘텐츠/예술,"정기구독, 뉴스레터, 플랫폼/마켓플레이스",3
188,오누이_설탭,20.125,37.1875,83,교육,"영어, 수학, 청소년교육",8
189,테크랩스_점신,5.4545,47.6,289,소셜미디어/커뮤니티,"커뮤니티, 메세지 , 데이팅",11
190,스타일봇_스타일봇,1.8,0.22,10,"패션, AI/딥테크/블록체인","의류, 패션테크, 인공지능",5
191,로쉬코리아_오뉴,0.5,0.475,14,"콘텐츠/예술, 헬스케어/바이오","미술, 공연, 전시",4
192,위허들링_위잇딜라이트,25.3571,14.7857,39,푸드/농업,"이커머스, 정기구독, 배송",7
193,세븐픽쳐스_넷플연가,1.7875,0.8875,10,"콘텐츠/예술, 소셜미디어/커뮤니티","영화, 드라마, OTT",8
194,원티드랩_원티드,52.5,55.8778,181,인사/비즈니스/법률,"구인구직/채용, 조직관리/조직문화",9
195,엔라이즈_위피,12.3077,21.0769,88,소셜미디어/커뮤니티,"커뮤니티, 데이팅, 홈트레이닝",13
196,서울로보틱스_서울로보틱스,59.2857,2.1,49,"모빌리티/교통, AI/딥테크/블록체인","자율주행, 커넥티드카/ADAS",7
197,스펙터_스펙터,19.125,0.0504,26,인사/비즈니스/법률,"구인구직/채용, B2B",4
198,포티투닷_탭,324.0,6.6,551,모빌리티/교통,"자율주행, 교통솔루션",5
199,퓨처커넥트_리브팜,14.75,1.025,15,"커머스, 푸드/농업","신선식품, 농업, 스마트팜/로봇",4
200,노타_노타키보드,30.0,2.2222,93,통신/보안/데이터,"데이터, 보안/암호화",9
201,고퀄_헤이홈,7.0,11.89,53,홈리빙/펫,"가전, IoT, 인공지능, WEB",10
202,마키나락스_MRX 솔루션,48.5714,4.3,115,"제조/하드웨어, AI/딥테크/블록체인","제조기술, 인공지능, 딥러닝/머신러닝",7
203,인테리어티쳐_인테리어티쳐,20.25,10.425,32,"커머스, 홈리빙/펫","이커머스, 가구, 인테리어",4
204,트립비토즈_트립비토즈,17.0333,8.5,69,여행/레저,"숙박, 여행정보, 렌터카",9
205,웨이커_웨이커,13.75,0.0082,27,금융/보험/핀테크,"투자, 주식/증권",4
206,모인_모인,31.3125,5.5875,57,금융/보험/핀테크,"P2P, 송금, 외환/환전",8
207,패스트레인_여신티켓,21.4375,8.0,69,"헬스케어/바이오, 뷰티/화장품","바이오/의료, 병원정보",8
208,커피챗_커피챗,6.6667,0.0659,7,소셜미디어/커뮤니티,"커뮤니티, 성인실무교육",3
209,안다르_안다르,66.6667,281.7667,87,"커머스, 패션, 피트니스/스포츠","이커머스, 다이어트, 홈트레이닝",6
210,하이브,631.5789,894.7368,796,콘텐츠/예술,"미디어, 방송, 음악",19
211,운칠기삼_포스텔러,6.0,10.8857,50,"콘텐츠/예술, 소셜미디어/커뮤니티","기타예술, 커뮤니티, B2C",7
212,비바이노베이션_착한의사,29.6667,3.3667,38,"헬스케어/바이오, AI/딥테크/블록체인","디지털헬스케어, 원격진료",6
213,와이어드컴퍼니_케미,1.3333,24.3333,47,"커머스, 광고/마케팅, AI/딥테크/블록체인","커머스, 광고/마케팅, AI/딥테크/블록체인, 이커머스, 크라우드펀딩, 직구/역직구, 유통, 애드테크, 마케팅솔루션, 인공지능, 딥러닝/머신러닝, B2B, B2C, 플랫폼/마켓플레이스, 용역, WEB, 교육/컨설팅/용역, 인플루언서",6
214,와그_와그,41.1111,4.6667,63,여행/레저,"여행/레저, 레저/액티비티, 숙박, 여행정보, B2C, SaaS/엔터프라이즈, WEB, 콘텐츠",9
215,에아아이트릭스,63.125,0.0638,78,"헬스케어/바이오, AI/딥테크/블록체인","헬스케어/바이오, AI/딥테크/블록체인, 최근투자받은추천채용기업, 디지털헬스케어, 바이오/의료, 신약, 원격진료, 간호, 빅데이터, 인공지능, B2B, SaaS/엔터프라이즈, 구독, 소프트웨어, 데이터/API",8
216,카카오헬스케어_파스타,600.0,9.0,188,헬스케어/바이오,"헬스케어/바이오, 디지털헬스케어, 병원정보, 인공지능, 데이터, B2C, SaaS/엔터프라이즈, WEB",2
217,굿닥_굿닥,52.5,22.0,31,헬스케어/바이오,"헬스케어/바이오, 병원정보, B2C, 플랫폼/마켓플레이스, APP, 소프트웨어, 데이터/API, O2O, 비대면/무인시스템/Untact, 원격진료",4
